risk_budget,baseline,mean_fixed_risk_utility_diff,ci95_fixed_risk_utility_diff,wins_over_seeds,seeds,strongest_non_oracle
0.03,conformal_risk_tamp,0.211724,0.014459,10,10,False
0.03,contact_implicit_tamp,0.211646,0.014449,10,10,False
0.03,contingent_pomdp_tamp,0.208784,0.014475,10,10,False
0.03,damage_aware_planner,0.208959,0.014479,10,10,False
0.03,deterministic_symbolic_tamp,0.223934,0.014476,10,10,False
0.03,ensemble_belief_planner,0.211694,0.014461,10,10,False
0.03,learned_contact_belief_state,0.207888,0.014477,10,10,False
0.03,learned_failure_classifier,0.214906,0.014466,10,10,False
0.03,oracle_contact_outcome_planner,0.154093,0.018037,10,10,False
0.03,oracle_hybrid_contact_planner,0.102613,0.01491,10,10,False
0.03,proposed_contact_belief_tamp_v4,0.203973,0.014456,10,10,True
0.03,receding_horizon_mpc,0.216593,0.014473,10,10,False
0.03,risk_aware_tamp,0.208244,0.014459,10,10,False
0.03,robust_geometric_tamp,0.218772,0.014455,10,10,False
0.03,smooth_precondition_world_model,0.2163,0.014468,10,10,False
0.034,conformal_risk_tamp,0.401481,0.021431,10,10,False
0.034,contact_implicit_tamp,0.401403,0.021436,10,10,False
0.034,contingent_pomdp_tamp,0.398541,0.021424,10,10,False
0.034,damage_aware_planner,0.398716,0.021428,10,10,False
0.034,deterministic_symbolic_tamp,0.413691,0.021437,10,10,False
0.034,ensemble_belief_planner,0.401451,0.021437,10,10,False
0.034,learned_contact_belief_state,0.397645,0.021426,10,10,False
0.034,learned_failure_classifier,0.404663,0.021441,10,10,False
0.034,oracle_contact_outcome_planner,0.288241,0.024495,10,10,False
0.034,oracle_hybrid_contact_planner,0.046132,0.031203,8,10,False
0.034,proposed_contact_belief_tamp_v4,0.385171,0.020389,10,10,True
0.034,receding_horizon_mpc,0.40635,0.021444,10,10,False
0.034,risk_aware_tamp,0.398001,0.021413,10,10,False
0.034,robust_geometric_tamp,0.408529,0.021434,10,10,False
0.034,smooth_precondition_world_model,0.406058,0.02141,10,10,False
0.038,conformal_risk_tamp,0.561963,0.011525,10,10,False
0.038,contact_implicit_tamp,0.561886,0.011533,10,10,False
0.038,contingent_pomdp_tamp,0.559023,0.011521,10,10,False
0.038,damage_aware_planner,0.559198,0.01152,10,10,False
0.038,deterministic_symbolic_tamp,0.574173,0.011517,10,10,False
0.038,ensemble_belief_planner,0.561933,0.011543,10,10,False
0.038,learned_contact_belief_state,0.557117,0.012379,10,10,False
0.038,learned_failure_classifier,0.565145,0.011536,10,10,False
0.038,oracle_contact_outcome_planner,0.276554,0.018501,10,10,False
0.038,oracle_hybrid_contact_planner,-0.092767,0.021293,0,10,False
0.038,proposed_contact_belief_tamp_v4,0.507718,0.011683,10,10,True
0.038,receding_horizon_mpc,0.566832,0.011519,10,10,False
0.038,risk_aware_tamp,0.555176,0.013045,10,10,False
0.038,robust_geometric_tamp,0.569011,0.011533,10,10,False
0.038,smooth_precondition_world_model,0.56654,0.01152,10,10,False
0.042,conformal_risk_tamp,0.629562,0.006667,10,10,False
0.042,contact_implicit_tamp,0.631815,0.006448,10,10,False
0.042,contingent_pomdp_tamp,0.613874,0.008577,10,10,False
0.042,damage_aware_planner,0.605933,0.007782,10,10,False
0.042,deterministic_symbolic_tamp,0.644102,0.006464,10,10,False
0.042,ensemble_belief_planner,0.630949,0.007531,10,10,False
0.042,learned_contact_belief_state,0.608371,0.011361,10,10,False
0.042,learned_failure_classifier,0.635075,0.00645,10,10,False
0.042,oracle_contact_outcome_planner,0.095369,0.017468,10,10,False
0.042,oracle_hybrid_contact_planner,-0.086988,0.011671,0,10,False
0.042,proposed_contact_belief_tamp_v4,0.568624,0.009089,10,10,True
0.042,receding_horizon_mpc,0.636761,0.006467,10,10,False
0.042,risk_aware_tamp,0.594165,0.008129,10,10,False
0.042,robust_geometric_tamp,0.63894,0.006456,10,10,False
0.042,smooth_precondition_world_model,0.636469,0.00645,10,10,False
