baseline,mean_success_diff,ci95_success_diff,mean_utility_diff,ci95_utility_diff,wins_success_over_seeds,wins_utility_over_seeds,seeds,decision,strongest_non_oracle
conformal_risk_tamp,0.198125,0.01441,0.418022,0.014338,10,10,10,proposed_better,False
contact_implicit_tamp,0.153958,0.010586,0.361352,0.010604,10,10,10,proposed_better,False
contingent_pomdp_tamp,0.125833,0.018882,0.291711,0.018486,10,10,10,proposed_better,False
damage_aware_planner,0.152292,0.018256,0.340246,0.018116,10,10,10,proposed_better,False
deterministic_symbolic_tamp,0.30125,0.014599,0.630308,0.012103,10,10,10,proposed_better,False
ensemble_belief_planner,0.164583,0.020732,0.3673,0.020606,10,10,10,proposed_better,False
learned_contact_belief_state,0.11,0.009387,0.254806,0.009346,10,10,10,proposed_better,False
learned_failure_classifier,0.183125,0.015174,0.422255,0.015524,10,10,10,proposed_better,False
oracle_contact_outcome_planner,-0.035,0.01601,-0.024878,0.01598,1,1,10,not_decisive,False
oracle_hybrid_contact_planner,-0.064375,0.012818,-0.068825,0.012807,0,0,10,not_decisive,False
proposed_contact_belief_tamp_v4,0.070208,0.013734,0.148909,0.013728,10,10,10,proposed_better,True
receding_horizon_mpc,0.188333,0.015498,0.455284,0.015318,10,10,10,proposed_better,False
risk_aware_tamp,0.134583,0.016926,0.309436,0.016887,10,10,10,proposed_better,False
robust_geometric_tamp,0.242083,0.011188,0.544719,0.012072,10,10,10,proposed_better,False
smooth_precondition_world_model,0.181458,0.017361,0.437405,0.016891,10,10,10,proposed_better,False
